상품명,가격,상품 링크
올즈마켓 고당도 수박 1등급 6kg미만 1통 ,"30,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC551222435&data=wjVF2FirLS%2byrzORcnql4QxexjPge6i9Qg%2bf1VIpZi%2bX88PKWtlxd0dtV5hgriw1txHGU2FrzPvFaF7qhHX4qj3xC7wUX67F11uzxwAg36TgZ8deIzpzSdlYp93MKYklHC%2bRKQF6n9qYowTXgAgt%2f1tKtNZcg4bq6ecnQQEhJEST7u749jXzb2OWkiU27kkEwuPfNfskca066Ph5cPRi5AH1cDlVoFh3b5%2fkycrS03md8amaR0WuJ6v8fOq7502etXFil%2btSlUmlCLJf61E8qkkj2eCLVvHsYg%2b8LkTsmmggy8Kokjpuc%2bUJjkIW98EAxzCboIZEtlaekc5EKo289gxj5sT4OxZPltjqmSVhiVyywih9ix3HFZ0kg%2bDRSfprrkNMH8p7hxlAabvg79e3RkwiaUIV5JRZWCPlgf6AUCUlXxzHtJi5B%2fgJUL9QRRyQXN3%2bR7tLBav581W7tmfGLgwgTCWPaV%2fZlnUxHoGBmlthHVCTeu0GPegIR9Di%2fu%2bWTnIniRENTAR2W4UXRzRgUyBfqpX3pvXsW9Z5udNUt%2bLZeNIE3xEVgcjOlkarEEa4SRN19sG%2fVs%2fQI5htt9TK%2fj9zAI0czfF1zfHxT9%2f0rB7llV1Fcc3Ya5BRu84ajQrvhqBqr%2bUcFhtvR2KSFrwqqCBgqVvTt1opLm5EnL1AEVIQme4aN%2fFNzYdVGfFsGCC%2fICO5KXEB%2fMac%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338579208391&type=1
프리미엄 고당도 꿀수박 가정용 제철과일 5-6kg ,"18,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC591617008&data=wyF8nBF5RAO9s9uyOJHJjRszHtoinYNq1oGaoczmnCSLU0pdDaH1yTJRaffNOyRXp54M4V4XQxgfiMWeZ9YydhaCdtXCB65%2fkfHLfZ7w2a8r46lCtFs8ndKF6JS9qU71fQZYTqMpVtIaDNMErhc31s1jOX%2bwla2hPBVlv68nLCrnyKja8PBv3V7BXJHT2GFYRWZF%2fNDT%2fX%2bGVKyWGIg%2fuEtRo7kBwgmVws25Vc%2bef5nn4dhlTEsqsU6SYuVSZuwKkp4%2b3Liqlidf%2fTZOQ1HD4y%2byF0lk2K3oRS4gt2TRnIc0ns%2b8TjlZUdlWHzkMJ4lvRBo%2bUt8Qmn8bjHO4gHE2SAn9wk%2bsPZI2iOWFFrqUbS3IujgR%2bHE4iy5J9cEauAkkdDN4FyMdZSPFRdvA3rQXWtldWvfjX5Hy5enOdvyyqLc64XG0PAJX1eHTXT9jfzfA1Nq6lxlQSUJXwzDsB1JOmmU6cVSbJAlSo%2buwbQc0oKJofmvWSIW7TquiN4ozRbqq%2fPLtZWX00C%2fuHrz9HJdyK5ZUwr6qLLwuqJxl3R4UqlpFfBFQm4Y2yTKQbF82H6wZyUmBC1e9%2bQR0CsznCmIXlThmcXc9Vq5x1SoW9lnV8ffHGdEFWiggQy8WgL3azz%2fHwgdDY5rS%2bjA3CNyJr59LzFpcvFS0pGnuk39WPMS7ZNyIwxM3SOyPJQcttRs%2b%2f4vetuvH1FzZ8Di4%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338579208392&type=1
과일꾼 고당도 꿀수박 2등급 4-5kg ,"18,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC603695131&data=wBOULrZ26xFHrIPq4HO1oilT7v8vV7w31ygEKkfiMUEEiS6RCQdnfVKQLV%2fsT0UScMvF9l%2bCLoxFDouN3lmadnGNASqME335v1uHaMq4WeXCIXcYQtkxGlthTZNQ5BPRTHIOF4NBTFoLiLJjaYhdXUmRlPxJkUc1ukgndEANtbN%2fKnQAHU9580d1AJpA4tEOpzKUoFSFzFyb4v4OsgY88WQAnl7CN%2bCbqqJAMxelSgoLsNfsIqW5N%2ba9X1Pxo6YSt2xxt8ovrmLo42IyVuK%2bL%2bcaBMGLhRjpLKmKnY0jXFCtbRQWd8EMaLszgjU1MYNhnGzzY3arWtU5YaxuNhv72E4EOHMSUoNqafcAeC43RSlWrlnv3880DIwyuLMlz6WpNW9dDvn8i8U%2b3bGnjtfB%2bD8PxyIafIGUl0%2bn7GkLzlEAWwmAylsM4yojh5D8%2bPsoSuApi9KhEZE87SSkCITW%2fbRLbT34k5yxzUssG5cslnqt1JHS8c6k9TcAr8pmgrX6BF4sxealkDsuhyTi7BncC1wZlfjw79TpkfdEopN29gwLupS3vVcfg1aNkemFpPkFsQV9DLgi1%2b1BQbuLKI6BQl%2brf34Fkb4o02N1tIiPnnabY8intMpWPV6F8OoJC1Ws7X5JMtpYlWkGCfp5gVj6dB2wI%2fbDuJJTEXuWB4YDtRm74d7GXUJ1AAwNoe%2fPjUjGPqhiuADFeuY4%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338579208393&type=1
프리미엄 고당도 흑수박 가정용 제철과일 5-6kg ,"19,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC591619583&data=wrqo%2fxUTdNfb1FX16gIIR2XyfxmgXrjpbn5H8ywCzY%2fRrUIEBSqdDKRoiVD5L8LFZhlTTD2nZmcrMUAVqlYtIubW4n4ynX3RyaKhGkl5jiyL2DtjUb1klP15BugPe2xQBxYmFAJQaK53r9DuHww7W5lOuHXngDCyvKFmYT852pXM64zifTrbqy%2fwC25SLIVxWrL6flj6%2fmeM9wO7xtAM2CakLKsgau0q%2fv0KkRtXxa41XMoaO3F%2bKhw0JELKf4bs5o%2f9CHDIzVrY3IIa9cnVkcpLejQNlvgOblsRiUO8Rd%2fUw7Jiym6pHFHPreXOaJSSoxUMJOWe4xl%2flfpKpplCuTiFp8a4cLwrtAXUwPvfSN9ZDM63vKxCKs4RXcMnm2LhezAczR80bVGqU%2f%2b5zZRbplv5PoVX5uDNDEozGuE4PX1SpPOYYLJUdwhUf%2b7oXFYL0IKSrJPjZ%2fl8TZdCc%2b5onTLrjawnyG0MqEGUYzgPstbANjIpcfZWxEXmX843Zo17PuVg3XM1b5pnghyOycTe891MpIj9liewX04cqqC2oH4jvJyCMWjEVCFboa6M9WvXmfnCdhe5j8O4j79Y066W9dTDclA3MLaLUe6a4JG9RJ0HyMSLBcJTyXPVAVjs%2fQt2TJ4gtM4cepQ6JaaZtJWC5HG7NWz%2biOUA9cF9csK17yM%2f99ROh9LJgwrMW%2b5bCPb5FGfjkOn4nTDs%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338579208394&type=1
프리미엄 고당도 흑수박 정품 선물용 제철과일 5-6kg ,"25,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC591620511&data=wBOULrZ26xFFCBfoGk7VdR6r7q8ybosUXa1rsg6qZd79EsjZMkiB%2f9czkX%2fcScJWCN4QDCTInY0tYKWVBYuKhglCQoOJwcjBINnTKEgQSZ%2fWE1AyDnXCKcBp7RJF%2fPuta7qlHCZQDPlxUkJg7OUwDcAX5OMJUKJfNlDP4vM%2fMGMr5DDdSBLdTE73sGMVJEQOykQWJtrwlbxPKwrr8p7XUZ1rquiPOZsqSJqSr1M9tw6R9pJXijfDFxNuZkb3ZqibYqvT9RgeZBTSE0Yj0RtQLfeS4m4VKm4%2fICeXg5%2fLSXUoX9DLfKSvGX72p9Oq6D1drl7qtcmts0r6aKLp3BdOmzPAXCVyFePQ0UPOWujY7Uk2Tq5DWpT25iWoha51JhYNn2vMYlvpkqcHSaKB7bixK%2bkYCnWGFPd%2bppjcG04bsJgUja2PP9r1TYH%2fzyjm1b8VJbP4tw0AefbLxJYus1zdj12SJD7IMTgcabfq6UkmXcv0BjT3mRHNihU%2fro%2fOFsAXggHrMKTPE6E2t3wr6M4MjJKQpsEfgq3neTsSMYJmHsa%2bxmvtDFti%2f9dceVxjLX3ijmSfOCwBjD7gRjuqoX3vVyUZrxG8mbElTV%2bjMyyUXuHJYnh9bEH1Im2OAgsy87dSOsckv99RozGwuRE%2fyLyVLzyuI28Q4wjMLqfWPQNI9imGtRdqQC%2bjSEGujUz1hMRGKO8XnzlohaGI%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338579208395&type=1
고당도 꿀수박 4-5kg / 좋은가격 ,"18,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC299981667&data=wsP07Kgqvfbzqi%2bnIrnDnr0DDbt3UOSnXtEa5ux4D4X2UmORenIdmYgZryRxofUruiaWzHgaqopBy5OQX%2bYjTXplr2s6Dw%2bh70iDz%2bHVKGRUiCTFELIgKyes2ASznVBTe89IFeFp%2fs66djTshXbMHIdGatG7AJVfcoFlAnjSMqd2VhR6HTQSsO6hhYUlACqzXDSBA5crFfkWFqs4piA%2bkCTQ7LSVGeHQocKOILS2aolQltbdXI3v4TqyiaTGXBzHqxkC07F7IRbwKUKG7lhTlZ%2b2wbN9c8Io7ZT1TNQo%2bLhokzwFqGl808va8ELRgx5u0Tyc64ZCY6mRCJu6xZOoC2CejBsBZnzckDz01klm%2bb1pjr8YkchCXo4nceKygXqp26bxq54Q8M7%2flcFOq9jpYc%2f8bPKPd5p44E17lPgG8Ozsnoipvkn6CsjMmYuwSbT0gGUrxB9a3NXfW5nzXRQ89y3Vd5LpOsusqVJA7ViRV1Kzf1dN9F%2fG4ZLIIUQkoVZUb0zml1kboCrEQupVWdPDzl9YVFtBq%2fS7tUd6IRZNQ8OYoFG%2bYsRtWYBQrTLrV2EpG8LtIADT%2fF9sQQ4O357ZKyy%2frg%2bMY3t8a%2fv6hWh3xh%2b9K2QjgS8Tct%2baXCQ6Q%2b1%2bBNy%2fnxt%2ba3%2fp6p9xyf5XXtq9DIiCZMdv3GFEg9wnuwXS4tK1CeTv40E5g5%2fYGcJUDzCSdkqEiZY0%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338579208396&type=1
프리미엄 고당도 꿀수박 정품 선물용 제철과일 5-6kg ,"23,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC591618245&data=wBOULrZ26xFEXOZ%2bhVS17obRjPegRTOt1P0qF4qfCHO27fauNf2FRc2zaVQ4jP0oBE0IFp1WQopQB%2biQYYxOSdEpY2%2fvXrHa6bEgAKuMI8lYHMXOOzqKTxTpUIEanbGGmeUbIwC4IPB8WITbpofmw%2bgaPjVHaentv41FfbEvv5R88t%2f7lKIJqdE3VUvyoeAhBTCjjcGp8dQ0Zgq%2fi%2f7OO6L5b1kF4j7szzYEV%2b4uNC5Dasb63ZuA3JtR%2fyQhgDDAVU6RteDkyTSdX0ChN7EPUgz7xLOnAHjnsEGJNiLn%2bR8KnZ6cfPHKWmJY9iO%2bzRnZicapz%2b34pkfofufe3VA2phOMT8mYXAUd0phu1Axxr6uLO8L%2bc7OoztlwBHKGE19RgPso9lNmf8F%2fK9eL8oNOo1vCl14ABKrw%2fWIxc6dT5CZP3C%2fgScl1eGDq%2fpYUJ1GVKaid6HgsX3UOgdxqxV6HoqiqCNXZE9Nm7oM9Bqsl45bbIAcqfmxASLBlVjMgkJ7C93l1jWGjrPbjNc1jcfUGweFMsVjteLeDom0a3U4mNjeVHINx9EnDplDH578T%2bVCU37ZVwtznJDPsUZRQ%2fMJpBeIOb7V9SS09TEvshMZ5eguWDMk1FM7Lm%2fL0qJDHlg6fF3lx88hZnuILB31cIlnQafVfZNrPEv1YXl7CaCqc3%2bsYYCkjUKN1daT6HhUmGr0Wsjsb%2btxhLNyw%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338579208397&type=1
달콤한 애플수박 애플수박 총1.5~1.8kg내외/2수 ,"15,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC354248222&data=wQq%2b4XegQwlX9C1hTxchDMPLN9SPisqwSf%2bSuj0ejlqU%2feaLuquq1XRgbE%2bv5b1j53TGLMsOPDF5SqiZ7FTeDeZ2sdC5MjKt%2bQ52LPpYZTkb4Se2Q9S58%2fa14F4pCnFfk0HDT1nRvJ4l%2br%2fJm5u5pCTCAdUbfnYhAubhvfSrJI78SdDEsNzg%2fTOvyFBDT4MoW2vJAWCXDDBisjsp%2b85bCQg6ehwagmZ0SFMMNIIztwNiTUhhs42zIUgJ638W86HTFNU8gSmMtlCDx98F%2fHuo0kIILrZE8NOxa0blhbbn1zGutReC5fIzL4ahhKQbNv2%2bBfxBl4LlxzmPRR5vifljH4IiF77Z06vSywnnKWuO0kK3fBxLUkY9nsw83KJiw5YgNO8wT3Xmyfrk4t0tfhfr%2brH%2bXla%2fuvjZHxaxzRG4Vv7oVasHiwYYgXxQSj5RFbH0MswlpwBXk%2fwUji9LFpbb2cKJ3FRla3xr9BZUNvmKvbCLf2B%2fKirfZb968PzzZjs2E0xcTrCGHhzv4oPV%2fvlRsFiCVezE1AYP5aGFNUD%2bMqbP3%2bahBRlxW8GmhRIEzpq42kmmpTetKaVE%2fowFq9KEsqXBDoD6SxGQjMHLpN2Y2GDh9EHoTXmR8ExISqJKlPSqI01ZvX3ao01WS3cdcfP1%2bn9brEGGx6%2bArWIoYWkcyTop8PG78b4ij4%2flbWXIkoGK1%2bCYvvvcT3f4%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338579208398&type=1
고당도 꿀 수박 하우스  4kg 내외 ,"16,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C391479030
수박 하우스 꿀수박 4-5kg 내외 고당도 ,"18,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=B319611146
달달한 수박 실중량 5~6키로 1통 실중량 ,"17,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C298074235
당도선별 고당도 유명산지 하우스 꿀 수박 4kg ,"29,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C590775720
당도선별 고당도 유명산지 하우스 꿀 수박 6kg ,"37,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C590784875
당도선별 고당도 유명산지 하우스 꿀 수박 5kg ,"33,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C590785111
하우스 꿀 수박 3~4kg내외  시원한 꿀수박 ,"10,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C356437360
수박 당일수확 신선한 고당도 하우스 꿀수박 4~5kg ,"25,800",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC585691701&data=wsP07Kgqvfby4I0bRwZcQwxnfb2SSkymYqnE6eu%2f8CEaALEjLEsGD%2bax%2b9gK%2bAD9ctUqJjbY1X1JR4FrbD7CLmxWCJZ%2fJXcZeLjZdJx7Ef8CpDLXo211vGxjgLZo%2f8pGTCRz%2bxdviFu83ygBRSGxTIuy2brEaiS0pnytw%2b8Evc1hSr5mf%2b6E4I4RHiLXOF%2byxwaO8QcnN6Y1G4ONc091yjYI%2fgA0Vt2XS6ZOFwbFohDERaWSDf2LJt6zAdxOKCct7w73bo%2b78DZgB%2bfdo2r2%2fSylfmUfEdPAAC6jIBGZPrzL5qiCMHav5kEwSXzeerJznUK%2bayD%2fzv7J71%2f82lGh5HbbDlF%2fEMqIHjl9f%2bkbStZp0BOpC6mmNqHNYprHGohiNLeibIxAr5ZgayZx3OGWsl17KOtYjVqKpPtf3dyB2r0dwBVPsY7ZwRc2t9BMRP9IubX%2bEqZMV%2f4XLRF5dERgIv255JDYIcFFszRBGKOfAnV2CUbxqKTGxG8vnmaORqnCu3GtIJziiLbwT1XTrPvG0bsI51XKB%2fAhfRjmDh6DyUb5oGqRQwOJ6BqJNU7xewG9OEoykXTT8D8V1NgGt%2bsAdYz3KlZUMn0VqMEbGNMqoMYmcbWAIXXfaA6GGjQ37d0kfVzyl4fDad2V1%2bmnq3koVxpX75GqcFdtzUVPOs7KTZ2FL9Yxv7h%2bCgaGy3L8%2b0dq5%2bmOsKUaJCTc%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338579208399&type=1
황금열매 국내산 고당도 맛있는 꿀수박 6kg~7kg내외1통 ,"26,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC315199106&data=wjVF2FirLS%2byyhpZpPbF%2fZj8s1JAmQ1ZfT39JQkl4R%2bn%2bXpCm%2bc%2fR%2b%2f%2bwJ29FQjznQ4bgug3IyKdoq8XgxY%2f7ASo%2bdrMVIyBKjnxnlotGa07A8xUF7OqB1lo3WwdZG9L0Y29efWp4XUT7dRlDOMT8L5Ljj6aCgu31ZH%2fMY6hd%2b4oEkb5UPlqHb2bFVQ6ZgfLrE2SgFOV3XgA8qMKDlq81Q3ZserTSxUTXnIboLzTYTQdFS0HPLtZYOAADV8u%2fVPfgTL8OBLpBQoPfAofcdNuiu%2b4jAHQr22hoUiqvdCO%2b7jQ83JNzukg1VK60vlLmysgoYnvutAODseqM44JLwo3ZFS9gRLuBB%2bxkvn5FMTcZJe0PC%2ftxqwhcPQPe9BNWStqTEUtg2h99yq8bKJ%2boFOzT2C0xke64MoJtpIJw0VIIA5RUT0GwzYJKzErq2vPpu%2f27VjPavSHwjLvdzSnSr9OJsArpU8yzKHflE0J5tZJ7UVdFzV4%2b8LghAx4GbWhG9GalvK%2fS%2f7dY8K7DfKurc6RM2BYXX0JJNwol7sLDA50yQ5x1duBX0X86o0%2beaAnlP782uKIZlez8BHBCCuIT8Bt20Bi0brLfO4IsrybigpImT2SOaGMp5OJaz6ZpUvX5v5X%2fCNFZIAt6%2b4j5ozBWF5eRVIUZ3d26m1ojQc0f%2fIuTfDaeN%2fbN63wNze5fxrGnntZzFgDEOJaCI6U%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338579208400&type=1
